CÓDIGO,AÑO DE INGRESO,REGIÓN,DEPARTAMENTO,DISTRITO,SEXO,EDAD,ESTUDIOS ALCANZADOS,OCUPACIÓN,CARRERA PROFESIONAL O TÉCNICA
MCC-2019-0185,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,25,LICENCIADO/BACHILLER,DESEMPLEADO,ECONOMIA
MCC-2019-0104,2019,AMAZONAS,BAGUA,LA PECA,F,30,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0107,2019,AMAZONAS,BAGUA,BAGUA,F,21,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0108,2019,AMAZONAS,BAGUA,BAGUA,M,29,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0109,2019,AMAZONAS,BAGUA,BAGUA,M,37,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0110,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,29,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0116,2019,AMAZONAS,BAGUA,IMAZA,M,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0117,2019,AMAZONAS,UTCUBAMBA,CAJARURO,M,21,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0118,2019,AMAZONAS,CONDORCANQUI,EL CENEPA,M,30,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0122,2019,AMAZONAS,BAGUA,BAGUA,M,21,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0123,2019,AMAZONAS,BAGUA,BAGUA,M,21,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0124,2019,AMAZONAS,BAGUA,BAGUA,M,24,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0127,2019,AMAZONAS,BAGUA,IMAZA,M,24,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0130,2019,AMAZONAS,BAGUA,IMAZA,M,25,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0131,2019,AMAZONAS,BAGUA,BAGUA,M,21,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0132,2019,AMAZONAS,BAGUA,IMAZA,M,27,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0133,2019,AMAZONAS,BAGUA,IMAZA,M,23,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0138,2019,AMAZONAS,CONDORCANQUI,NIEVA,M,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0141,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,48,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0143,2019,AMAZONAS,BAGUA,IMAZA,M,26,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0144,2019,AMAZONAS,CONDORCANQUI,NIEVA,M,22,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0153,2019,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,M,29,ESTUDIANTE PREGRADO,ESTUDIANTE,ARQUITECTURA
MCC-2019-0187,2019,AMAZONAS,CHACHAPOYAS,MAGDALENA,M,27,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0189,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,27,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2019-0106,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,26,ESTUDIANTE PREGRADO,INDEPENDIENTE,NO INFORMO
MCC-2019-0136,2019,AMAZONAS,BAGUA,BAGUA,M,35,SECUNDARIA,INDEPENDIENTE,NO INFORMO
MCC-2019-0583,2019,AMAZONAS,UTCUBAMBA,CUMBA,F,44,LICENCIADO/BACHILLER,INDEPENDIENTE,NO INFORMO
MCC-2019-0112,2019,AMAZONAS,UTCUBAMBA,LONYA GRANDE,F,27,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AMBIENTAL
MCC-2019-0150,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,32,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0154,2019,AMAZONAS,LUYA,SAN FRANCISCO DE YESO,F,35,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0158,2019,AMAZONAS,LUYA,SANTO TOMAS,M,30,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0175,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,33,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0180,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,26,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0145,2019,AMAZONAS,BAGUA,BAGUA,F,29,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2019-0176,2019,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,M,27,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2019-0159,2019,AMAZONAS,BAGUA,BAGUA,M,51,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA CIVIL
MCC-2019-0101,2019,AMAZONAS,BAGUA,BAGUA,F,22,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2019-0128,2019,AMAZONAS,BAGUA,BAGUA,M,21,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2019-1971,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,26,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2019-0155,2019,AMAZONAS,UTCUBAMBA,CAJARURO,F,28,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2019-0148,2019,AMAZONAS,BONGARA,JAZAN,F,26,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA DE SEGURIDAD Y SALUD EN EL TRABAJO
MCC-2019-0171,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,24,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0174,2019,AMAZONAS,BONGARA,YAMBRASBAMBA,F,26,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2019-0188,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,33,LICENCIADO/BACHILLER,LABORATORIO CLINICO,LABORATORIO CLINICO
MCC-2019-0167,2019,AMAZONAS,BONGARA,JAZAN,F,51,LICENCIADO/BACHILLER,DOCENCIA,EDUCACION
MCC-2019-0165,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,32,LICENCIADO/BACHILLER,ENFERMERIA TECNICO,ENFERMERIA
MCC-2019-0162,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,30,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2019-0125,2019,AMAZONAS,BAGUA,COPALLIN,M,33,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2019-0173,2019,AMAZONAS,CHACHAPOYAS,BALSAS,M,34,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2019-0179,2019,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,F,31,LICENCIADO/BACHILLER,PROFESIONAL TECNICO,ENFERMERIA
MCC-2019-0137,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,29,LICENCIADO/BACHILLER,GUIA OFICIAL EN TURISMO,ADMINISTRACION DE TURISMO
MCC-2019-0139,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,31,LICENCIADO/BACHILLER,GUIA OFICIAL EN TURISMO,ADMINISTRACION DE TURISMO
MCC-2019-0166,2019,AMAZONAS,BONGARA,JAZAN,F,51,LICENCIADO/BACHILLER,VIGILANTE,AGENTE DE SEGURIDAD Y CHOFER
MCC-2020-4261,2020,AMAZONAS,BAGUA,BAGUA,M,37,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2020-0309,2020,AMAZONAS,BAGUA,BAGUA,M,28,LICENCIADO/BACHILLER,INGENIERIA,ADMINISTRACION
MCC-2020-0324,2020,AMAZONAS,CONDORCANQUI,NIEVA,F,25,LICENCIADO/BACHILLER,ASISTENTE,ADMINISTRACION
MCC-2020-0326,2020,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,F,27,ESTUDIANTE PREGRADO,ESTUDIANTE,NO INFORMO
MCC-2020-0308,2020,AMAZONAS,BAGUA,BAGUA,M,24,MAESTRIA,LABORANDO,ADMINISTRACION
MCC-2020-4377,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,46,ESTUDIANTE PREGRADO,LABORANDO,ADMINISTRACION
MCC-2020-0316,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,33,LICENCIADO/BACHILLER,DESEMPLEADO,CONTABILIDAD
MCC-2020-0320,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,40,MAESTRIA,LABORANDO,CIENCIAS DE LA SALUD
MCC-2020-0334,2020,AMAZONAS,UTCUBAMBA,JAMALCA,F,24,LICENCIADO/BACHILLER,LABORANDO,COMPUTACION E INFORMATICA
MCC-2020-0321,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,33,LICENCIADO/BACHILLER,INDEPENDIENTE,DERECHO
MCC-2020-0315,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,31,LICENCIADO/BACHILLER,LABORANDO,DERECHO
MCC-2020-0323,2020,AMAZONAS,CHACHAPOYAS,SOLOCO,F,25,LICENCIADO/BACHILLER,ASISTENTE,ECONOMIA
MCC-2020-0313,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,24,LICENCIADO/BACHILLER,PRACTICANTE,ECONOMIA
MCC-2020-0328,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,23,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-0332,2020,AMAZONAS,UTCUBAMBA,CAJARURO,M,24,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-0307,2020,AMAZONAS,BAGUA,BAGUA,M,37,ESTUDIANTE PREGRADO,ESTUDIANTE,ESTUDIANTE
MCC-2020-0331,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,22,ESTUDIANTE PREGRADO,INGENIERIA,INGENIERIA CIVIL
MCC-2020-0335,2020,AMAZONAS,UTCUBAMBA,JAMALCA,M,25,LICENCIADO/BACHILLER,LABORANDO,INGENIERO MECANICO ELECTRICO
MCC-2020-0310,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,29,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2020-0317,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,26,LICENCIADO/BACHILLER,ESTUDIANTE,INGENIERIA AGRONOMA
MCC-2020-0327,2020,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,M,28,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2020-6846,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,23,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2020-0314,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,33,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2020-0312,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,37,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2020-0318,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,28,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AMBIENTAL
MCC-2020-0322,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,27,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2020-0306,2020,AMAZONAS,BAGUA,ARAMANGO,M,28,LICENCIADO/BACHILLER,ASISTENTE,INGENIERIA CIVIL
MCC-2020-0329,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,29,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2020-0319,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,29,LICENCIADO/BACHILLER,AMA DE CASA,INGENIERIA INDUSTRIAL
MCC-2020-0311,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,29,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2020-0333,2020,AMAZONAS,UTCUBAMBA,CUMBA,M,34,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2020-0325,2020,AMAZONAS,LUYA,TRITA,M,37,MAESTRIA,LABORANDO,NO INFORMO
MCC-2020-0330,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,23,LICENCIADO/BACHILLER,INGENIERIA,MAQUINISTA OPERADOR
MCC-2020-7350,2020,AMAZONAS,CHACHAPOYAS,MAGDALENA,F,25,LICENCIADO/BACHILLER,INGENIERIA,INGENIERIA AGRONOMA
MCC-2020-7689,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,33,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA AGRONOMA
MCC-2020-7745,2020,AMAZONAS,BONGARA,JAZAN,F,24,LICENCIADO/BACHILLER,INGENIERIA,DERECHO
MCC-2020-7746,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,26,ESTUDIANTE PREGRADO,INGENIERIA,ECONOMIA
MCC-2020-7917,2020,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,F,25,ESTUDIANTE PREGRADO,INGENIERIA,INGENIERIA AMBIENTAL
MCC-2020-7948,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,27,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA AMBIENTAL
MCC-2020-8127,2020,AMAZONAS,BONGARA,SHIPASBAMBA,F,24,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA INDUSTRIAL
MCC-2020-8748,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,27,LICENCIADO/BACHILLER,LABORANDO,CONTABILIDAD
MCC-2020-8766,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,27,LICENCIADO/BACHILLER,INDEPENDIENTE,ARQUITECTURA
MCC-2020-8786,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,24,LICENCIADO/BACHILLER,DESEMPLEADO,ADMINISTRACION
MCC-2020-8875,2020,AMAZONAS,BAGUA,ARAMANGO,M,24,LICENCIADO/BACHILLER,INGENIERIA,INGENIERO MECANICO ELECTRICO
MCC-2020-8922,2020,AMAZONAS,UTCUBAMBA,CAJARURO,F,22,ESTUDIANTE PREGRADO,INGENIERIA,CONTABILIDAD
MCC-2020-9054,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,23,ESTUDIANTE PREGRADO,INGENIERIA,INGENIERIA CIVIL
MCC-2020-9118,2020,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,25,LICENCIADO/BACHILLER,INGENIERIA,ADMINISTRACION
MCC-2021-0019,2021,AMAZONAS,CHACHAPOYAS,LEVANTO,M,43,LICENCIADO/BACHILLER,LABORANDO,COMPUTACION E INFORMATICA
MCC-2021-0006,2021,AMAZONAS,LUYA,OCUMAL,F,32,LICENCIADO/BACHILLER,LABORANDO,CONTABILIDAD
MCC-2021-0018,2021,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,F,24,ESTUDIANTE PREGRADO,LABORANDO,ADMINISTRACION
MCC-2021-0014,2021,AMAZONAS,BONGARA,JUMBILLA,M,26,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA AMBIENTAL
MCC-2021-0005,2021,AMAZONAS,CHACHAPOYAS,MAGDALENA,M,28,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2021-0008,2021,AMAZONAS,CHACHAPOYAS,QUINJALCA,M,23,SECUNDARIA,LABORANDO,NO INFORMO
MCC-2021-0022,2021,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,M,26,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2021-0028,2021,AMAZONAS,CHACHAPOYAS,HUANCAS,M,21,ESTUDIANTE PREGRADO,ESTUDIANTE,CIENCIAS DE LA COMUNICACION
MCC-2021-0023,2021,AMAZONAS,UTCUBAMBA,JAMALCA,F,26,ESTUDIANTE PREGRADO,ESTUDIANTE,NO INFORMO
MCC-2021-0003,2021,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,28,LICENCIADO/BACHILLER,DESEMPLEADO,COMPUTACION E INFORMATICA
MCC-2021-0004,2021,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,31,ESTUDIANTE PREGRADO,DESEMPLEADO,INGENIERIA CIVIL
MCC-2021-0007,2021,AMAZONAS,CHACHAPOYAS,HUANCAS,M,29,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2021-0009,2021,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,36,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2021-0010,2021,AMAZONAS,UTCUBAMBA,YAMON,M,24,ESTUDIANTE PREGRADO,PRACTICANTE,ADMINISTRACION
MCC-2021-0011,2021,AMAZONAS,LUYA,LAMUD,M,34,LICENCIADO/BACHILLER,LABORANDO,NO INFORMO
MCC-2021-0012,2021,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,29,ESTUDIANTE PREGRADO,LABORANDO,DERECHO
MCC-2021-0013,2021,AMAZONAS,CHACHAPOYAS,HUANCAS,M,34,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
MCC-2021-0015,2021,AMAZONAS,CHACHAPOYAS,LEVANTO,M,32,SECUNDARIA,LABORANDO,NO INFORMO
MCC-2021-0016,2021,AMAZONAS,UTCUBAMBA,YAMON,M,29,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2021-0017,2021,AMAZONAS,UTCUBAMBA,CAJARURO,M,25,ESTUDIANTE PREGRADO,ESTUDIANTE,INGENIERIA CIVIL
MCC-2021-0020,2021,AMAZONAS,CHACHAPOYAS,HUANCAS,F,24,ESTUDIANTE PREGRADO,ESTUDIANTE,DERECHO
MCC-2021-0021,2021,AMAZONAS,CHACHAPOYAS,LA JALCA,F,28,ESTUDIANTE PREGRADO,DESEMPLEADO,INGENIERIA AMBIENTAL
MCC-2021-0024,2021,AMAZONAS,BONGARA,YAMBRASBAMBA,M,27,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA CIVIL
MCC-2021-0025,2021,AMAZONAS,BAGUA,BAGUA,F,35,LICENCIADO/BACHILLER,LABORANDO,CONTABILIDAD
MCC-2021-0026,2021,AMAZONAS,BAGUA,ARAMANGO,F,22,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2021-0027,2021,AMAZONAS,BAGUA,BAGUA,M,32,MAESTRIA,DESEMPLEADO,ADMINISTRACION
MCC-2021-0029,2021,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,M,37,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AGRONOMA
MCC-2021-0030,2021,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,F,31,LICENCIADO/BACHILLER,LABORANDO,ADMINISTRACION
MCC-2021-0031,2021,AMAZONAS,LUYA,TINGO,M,29,LICENCIADO/BACHILLER,LABORANDO,ADMINISTRACION
MCC-2021-0032,2021,AMAZONAS,UTCUBAMBA,CAJARURO,M,25,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2021-0033,2021,AMAZONAS,UTCUBAMBA,CAJARURO,M,32,ESTUDIANTE PREGRADO,LABORANDO,INGENIERIA INDUSTRIAL
MCC-2021-0034,2021,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,24,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
